id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
16126952,47535014,Carly,Pittwater,-33.65531541,151.2884285,Entire home/apt,380,2,1,2/4/17,0.32,1,175,2,80
8000510,42232984,Camila,Pittwater,-33.65847802,151.3150823,Entire home/apt,98,14,0,,,1,0,2,
10237028,37098642,Travis & Shauna,Pittwater,-33.69791518,151.2880011,Entire home/apt,90,4,17,7/3/17,1.11,3,223,2,93
10902870,13459877,Madeline,Pittwater,-33.6027592,151.3018512,Entire home/apt,180,2,9,9/1/17,1.01,3,283,7,93
10366979,50024448,Vicki,Pittwater,-33.59640351,151.3225557,Entire home/apt,950,2,7,26/2/17,1.17,1,356,2,100
12915777,19558220,Lorraine,Pittwater,-33.65047944,151.3107794,Entire home/apt,165,2,6,11/3/17,0.56,2,23,3,100
11806617,62881711,Selena,Pittwater,-33.70424843,151.2821586,Entire home/apt,90,1,35,22/3/17,2.88,2,331,4,85
6292330,25382466,David And Emily,Pittwater,-33.61719311,151.3326735,Entire home/apt,1000,7,2,5/1/16,0.13,2,0,7,100
11020285,3231371,Tara,Pittwater,-33.60055122,151.3255839,Entire home/apt,499,5,0,,,25,365,2,
17179548,62613678,Anne,Pittwater,-33.69228585,151.2773436,Entire home/apt,250,7,0,,,2,35,6,
9516175,49308141,Josie,Pittwater,-33.62733651,151.3376762,Entire home/apt,1100,7,0,,,1,0,5,
16651456,110070372,Steven,Pittwater,-33.67872035,151.3117369,Entire home/apt,195,7,0,,,1,39,5,
5253206,15627613,Louise,Pittwater,-33.67279128,151.3098188,Entire home/apt,300,3,5,22/5/16,0.2,1,354,4,100
1276799,6949862,David,Pittwater,-33.63227342,151.335304,Entire home/apt,395,2,9,19/3/17,0.23,2,353,5,98
4076976,21146016,Evelyn,Pittwater,-33.6257993,151.3184357,Entire home/apt,220,2,51,18/3/17,1.68,1,336,1,97
10299532,9674524,Jonathan,Pittwater,-33.62878597,151.3279143,Entire home/apt,176,7,14,11/4/16,0.94,1,179,4,94
4207786,21833330,Lucy,Pittwater,-33.63873587,151.3293575,Entire home/apt,80,2,18,11/10/16,0.6,2,262,3,93
4988605,21205048,Jarrod,Pittwater,-33.70690062,151.2918968,Entire home/apt,475,5,0,,,1,0,6,
6391071,10571578,Nicole,Pittwater,-33.62881713,151.3391294,Entire home/apt,849,2,4,31/3/16,0.22,7,362,3,100
5185223,8910548,Ingrid & Jamie,Pittwater,-33.59261694,151.3017273,Entire home/apt,499,2,38,11/3/17,1.56,1,323,2,99
7881,21741,Lea,Pittwater,-33.69881467,151.2829354,Private room,80,3,14,5/7/15,0.22,3,337,1,98
10159395,51110562,Ruby,Pittwater,-33.69233279,151.2896742,Private room,89,1,0,,,1,365,2,
16135622,104423208,Linda,Pittwater,-33.65986716,151.3107492,Entire home/apt,140,1,8,18/3/17,2.73,1,40,1,95
17574205,77724533,Jana,Pittwater,-33.66828429,151.3144372,Private room,45,1,0,,,1,29,1,
8462233,6136809,Katie,Pittwater,-33.6266324,151.329645,Entire home/apt,450,7,0,,,1,0,4,
8459881,19717717,Kye And Isabelle,Pittwater,-33.65112553,151.3135836,Entire home/apt,79,4,19,27/1/17,1.03,1,261,1,93
5581269,11957095,Michy,Pittwater,-33.63665129,151.3059522,Entire home/apt,130,1,66,18/3/17,2.64,1,355,1,96
2496135,12776882,Katrina,Pittwater,-33.65396722,151.3135545,Entire home/apt,400,2,5,14/1/17,1.56,1,66,4,92
17641860,120009086,Helen & Tim,Pittwater,-33.64778859,151.3257165,Entire home/apt,220,2,0,,,1,348,1,
8925579,6764931,Rudi & Avalon,Pittwater,-33.59985455,151.3209064,Private room,201,2,3,9/12/16,0.2,4,337,1,93
14890454,80433248,Josephine,Pittwater,-33.63124327,151.3211714,Entire home/apt,1250,7,0,,,1,174,4,
9908228,50948495,Russell,Pittwater,-33.63119356,151.3196685,Entire home/apt,1080,6,2,15/1/17,0.14,1,28,4,100
16263765,16445099,Kaye,Pittwater,-33.68937003,151.293071,Entire home/apt,121,7,1,2/1/17,0.33,1,325,1,100
8926500,46678865,Fran,Pittwater,-33.66004482,151.3187626,Entire home/apt,830,10,0,,,1,365,4,
11147070,57940804,Leonie,Pittwater,-33.62001809,151.3311839,Entire home/apt,333,5,2,7/1/17,0.64,1,363,5,100
8991255,19607890,Jennifer,Pittwater,-33.62452865,151.3210897,Entire home/apt,499,7,2,10/1/16,0.13,1,0,3,100
7482059,39182383,Anna,Pittwater,-33.68024906,151.2999984,Entire home/apt,1100,7,0,,,1,0,5,
16003635,65969990,Andrew,Pittwater,-33.69745876,151.2895714,Private room,41,2,9,18/3/17,2.84,1,55,1,93
5059126,355522,Dennis,Pittwater,-33.64944454,151.3210869,Entire home/apt,1000,4,0,,,3,49,5,
