id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
12078354,64728039,__•__ç,Wyndham,-37.84461203,144.7362369,Private room,55,1,0,,,1,365,3,
17080990,114603902,Deepa,Wyndham,-37.86133979,144.5999376,Private room,30,1,0,,,1,338,4,
17982151,77994373,Jessie,Wyndham,-37.88584563,144.6149055,Private room,35,1,1,2/4/17,1,3,181,1,100
12597140,56283032,Fiona,Wyndham,-37.89924859,144.7310992,Private room,39,1,14,24/9/16,1.22,1,315,1,91
16077047,100256427,Moc,Wyndham,-37.87315385,144.5947216,Private room,35,2,8,30/3/17,2.7,2,72,1,100
14819923,16319616,Airin,Wyndham,-37.84054044,144.7423754,Private room,55,1,3,9/10/16,0.48,4,335,1,93
12799502,69731370,Ulrich,Wyndham,-37.8905195,144.7739174,Private room,47,2,12,5/3/17,1.24,1,315,1,97
12669480,16319616,Airin,Wyndham,-37.84151399,144.7410496,Private room,41,1,13,16/3/17,1.19,4,336,1,88
16846657,106791831,Hao,Wyndham,-37.88841987,144.7477629,Private room,41,3,6,19/3/17,2.73,1,53,2,97
17683126,120433497,Umberto,Wyndham,-37.91866415,144.7484319,Entire home/apt,50,1,0,,,1,39,1,
6944782,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.90742432,144.7768977,Entire home/apt,215,2,5,27/12/16,0.29,46,191,8,80
17980111,19362358,Donald & Ween,Wyndham,-37.90340223,144.7323559,Private room,121,1,0,,,3,163,2,
17003895,101133439,Celine,Wyndham,-37.86383039,144.7370248,Private room,75,1,0,,,1,337,1,
16636785,109788769,Mia,Wyndham,-37.8578936,144.7480414,Private room,66,1,2,11/3/17,1.87,6,361,1,100
11426714,43473834,Parrot,Wyndham,-37.90878131,144.7774794,Private room,38,1,40,9/3/17,3.05,1,350,1,92
14900176,93536832,Shovon,Wyndham,-37.8910481,144.6658977,Private room,110,1,0,,,1,174,1,
7724084,1751503,Charlin & Candy,Wyndham,-37.89737486,144.7763592,Private room,41,1,31,6/3/17,2.14,2,354,3,96
11124106,54694131,Yonghan,Wyndham,-37.88905695,144.6844764,Entire home/apt,170,1,3,10/1/17,0.28,1,153,5,90
16355200,15651267,Serviced Houses Australia Hosted By,Wyndham,-37.91539454,144.7465586,Entire home/apt,245,2,0,,,46,337,8,
13101779,72801001,Ashok,Wyndham,-37.8976693,144.7405762,Entire home/apt,96,1,4,25/3/17,0.83,1,76,1,87
17722183,1318245,Itchie,Wyndham,-37.89303967,144.7424298,Private room,50,7,0,,,2,273,2,
